SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE,address
KETAM MOUNTAIN BIKE PARK,,NIL,KETAM MOUNTAIN BIKE PARK,KETAM MOUNTAIN BIKE PARK,NIL,40606.790444267,43848.7003494762,1.41282379462251,103.946601437734,103.946601437734,Ketam Mountain Bike Park
KRANJI MARSHES,,NIL,KRANJI MARSHES,KRANJI MARSHES,NIL,16419.3152493164,44543.8092568126,1.41911053100165,103.729255870894,103.729255870894,Kranji Marshes
KRANJI RESERVOIR PARK A,,NIL,KRANJI RESERVOIR PARK A,KRANJI RESERVOIR PARK A,NIL,17910.5379007468,46671.4915121067,1.43835306314103,103.742655060396,103.742655060396,Kranji Reservoir Park
LABRADOR NATURE RESERVE,,NIL,LABRADOR NATURE RESERVE,LABRADOR NATURE RESERVE,NIL,24574.5381148206,27681.0824233331,1.26661219044711,103.80253966305,103.80253966305,Labrador Nature Reserve
LABRADOR PARK MRT STATION,701,TELOK BLANGAH ROAD,LABRADOR PARK MRT STATION,701 TELOK BLANGAH ROAD LABRADOR PARK MRT STATION SINGAPORE 109029,109029,24672.1010278082,28317.5716898218,1.27236838626952,103.803416232089,103.803416232089,Labrador Park
LOWER SELETAR RESERVOIR PARK,,NIL,LOWER SELETAR RESERVOIR PARK,LOWER SELETAR RESERVOIR PARK,NIL,27763.6409822367,43497.4193016533,1.40964971263737,103.831194690909,103.831194690909,Lower Seletar Reservoir Park
MACRITCHIE RESERVOIR PARK,,NIL,MACRITCHIE RESERVOIR PARK,MACRITCHIE RESERVOIR PARK,NIL,28030.2531873323,35964.3150995951,1.34152301286138,103.833590421997,103.833590421997,MacRitchie Reservoir Park
MARSILING PARK,,NIL,MARSILING PARK,MARSILING PARK,NIL,20929.845915081,46596.0159640741,1.43767141252746,103.76978645125,103.76978645125,Marsiling Park
MOUNT FABER PARK,,NIL,MOUNT FABER PARK,MOUNT FABER PARK,NIL,26343.5242413711,28621.3867277242,1.27511611428167,103.818434543524,103.818434543524,Mount Faber Park
SINGAPORE BOTANIC GARDENS (NATIONAL ORCHID GARDEN),,NIL,SINGAPORE BOTANIC GARDENS (NATIONAL ORCHID GARDEN),SINGAPORE BOTANIC GARDENS (NATIONAL ORCHID GARDEN),NIL,25832.4352616929,32796.1740518902,1.3128713901498,103.81384193554,103.81384193554,National Orchid Garden
ONE-NORTH PARK,,NIL,ONE-NORTH PARK,ONE-NORTH PARK,NIL,23265.0719814943,31710.5966830328,1.30305352580179,103.790773072366,103.790773072366,One-north Park
PASIR RIS PARK,,NIL,PASIR RIS PARK,PASIR RIS PARK,NIL,41038.5963451685,40355.652049683,1.38123379341088,103.9504800153,103.9504800153,Pasir Ris Park
PASIR RIS TOWN PARK,,NIL,PASIR RIS TOWN PARK,PASIR RIS TOWN PARK,NIL,41257.7913020644,39281.4141571764,1.37151869270261,103.952449159325,103.952449159325,Pasir Ris Town Park
PEARL'S HILL CITY PARK,,NIL,PEARL'S HILL CITY PARK,PEARL'S HILL CITY PARK,NIL,28593.5399708273,29661.137551995,1.28451929408639,103.838651770829,103.838651770829,Pearl's Hill City Park
PULAU UBIN,,NIL,PULAU UBIN,PULAU UBIN,NIL,43869.3005273184,43814.0729286,1.41250901343404,103.97591782415,103.97591782415,Pulau Ubin
PUNGGOL PARK,,NIL,PUNGGOL PARK,PUNGGOL PARK,NIL,35264.4200976007,39905.4826235976,1.37716462854545,103.89859468959,103.89859468959,Punggol Park
PUNGGOL WATERWAY PARK,,NIL,PUNGGOL WATERWAY PARK,PUNGGOL WATERWAY PARK,NIL,35956.5321113337,43646.5514432378,1.41099730594977,103.904814837855,103.904814837855,Punggol Waterway Park
RAFFLES PLACE PARK,,NIL,RAFFLES PLACE PARK,RAFFLES PLACE PARK,NIL,30038.9372883933,29644.6548187826,1.28437016962651,103.851639236357,103.851639236357,Raffles Place Park
SEMBAWANG PARK,6,JALAN MATA AYER,SEMBAWANG PARK,6 JALAN MATA AYER SEMBAWANG PARK SINGAPORE 759090,759090,27106.5719687967,45292.3834700529,1.42588270776165,103.825290308615,103.825290308615,Sembawang Park
SENGKANG RIVERSIDE PARK,,NIL,SENGKANG RIVERSIDE PARK,SENGKANG RIVERSIDE PARK,NIL,33666.51176289,42375.5294327307,1.39950318947743,103.884236800325,103.884236800325,Sengkang Riverside Park
